old_sku,old_item_name,old_category,old_unit,old_cost,old_retail,old_qty,new_sku,new_item_name,new_category,action,selected_source,notes
FGB-COG-0004,Martel VSOP,BAR DRINKS,bottle,7865.0,13000.0,1000.0,FGH-COGNAC-007,MARTELL VSOP 700ML,COGNAC,KEEP / RENAME,YES,Category → COGNAC; Name → MARTELL VSOP 700ML
FGB-STK-WHK-0025,Martell,BAR DRINKS,bottle,0.0,8500.0,0.0,FGH-COGNAC-005,MARTELL 750ML,COGNAC,KEEP / RENAME,YES,Category → COGNAC; Name → MARTELL 750ML
FGB-STK-WHK-0026,Martell VSOP,BAR DRINKS,bottle,0.0,12500.0,0.0,FGH-COGNAC-007,MARTELL VSOP 700ML,COGNAC,MERGE INTO,NO,Category → COGNAC; Name → MARTELL VSOP 700ML
FGB-STK-BEV-0007,Minute Maid,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-015,MINUTE MAID,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
FGB-STK-BEV-0004,Novida,BAR DRINKS,bottle,0.0,80.0,0.0,FGH-SOFT-DRINKS-016,NOVIDA,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
MOG-BAR-0166,NUDEBURG,BAR DRINKS,each,0.0,2800.0,0.0,FGH-WINES-025,NUDEBURG,WINES,RENAME,YES,Category → WINES
FGB-BER-0009,Pilsner,BAR DRINKS,bottle,169.0,250.0,1000.0,FGH-BEERS-012,PILSNER LAGER,BEERS,KEEP / RENAME,YES,Category → BEERS; Name → PILSNER LAGER
FGB-STK-SPR-0004,Popov 250 ml,BAR DRINKS,bottle,0.0,350.0,0.0,FGH-SPIRITS-019,POPOV 250ML,SPIRITS,RENAME,YES,Category → SPIRITS; Name → POPOV 250ML
FGB-STK-BEV-0008,Predator,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-017,PREDATOR,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
MOG-BAR-0139,PUNCH,BAR DRINKS,each,0.0,250.0,0.0,FGH-BAR-DRINKS-001,PUNCH,BAR DRINKS,RENAME,YES,
FGB-CAN-0011,Raspberry Twist,BAR DRINKS,can,175.96,250.0,1000.0,FGH-CANNED-BEERS-011,SAVANNA RASPBERRY TWIST,CANNED BEERS,KEEP / RENAME,YES,Category → CANNED BEERS; Name → SAVANNA RASPBERRY TWIST
FGB-ENR-0001,Redbull,BAR DRINKS,can,181.0,181.0,996.0,FGH-ENERGY-DRINKS-002,RED BULL,ENERGY DRINKS,KEEP / RENAME,YES,Category → ENERGY DRINKS; Name → RED BULL
FGB-STK-BRC-0006,Richot 1/2,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-SPIRITS-021,RICHOT 350ML,SPIRITS,MERGE INTO,NO,Category → SPIRITS; Name → RICHOT 350ML
FGB-STK-BRC-0005,Richot 1/4,BAR DRINKS,bottle,0.0,600.0,0.0,FGH-SPIRITS-020,RICHOT 250ML,SPIRITS,MERGE INTO,NO,Category → SPIRITS; Name → RICHOT 250ML
FGB-STK-BRC-0007,Richot 750 ml,BAR DRINKS,bottle,0.0,1800.0,0.0,FGH-SPIRITS-022,RICHOT 750ML,SPIRITS,MERGE INTO,NO,Category → SPIRITS; Name → RICHOT 750ML
FGB-STK-BRC-0008,Robertson,BAR DRINKS,bottle,0.0,1800.0,0.0,FGH-WHISKY-059,ROBERTSON WHISKY,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → ROBERTSON WHISKY
FGB-WHK-0024,Savanna,BAR DRINKS,bottle,251.0,350.0,1000.0,FGH-BEERS-013,SAVANNA CIDER,BEERS,KEEP / RENAME,YES,Category → BEERS; Name → SAVANNA CIDER
FGB-STK-MIX-0004,Savanna Cider,BAR DRINKS,bottle,0.0,350.0,0.0,FGH-BEERS-013,SAVANNA CIDER,BEERS,MERGE INTO,NO,Category → BEERS
FGB-COG-0005,Singletone 12YRS,BAR DRINKS,bottle,5375.0,6000.0,1000.0,FGH-WHISKY-060,SINGLETON 12 YRS,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → SINGLETON 12 YRS
FGB-STK-BEV-0001,Soda 300ml,BAR DRINKS,bottle,0.0,70.0,0.0,FGH-SOFT-DRINKS-018,SODA 300ML,SOFT DRINKS,MERGE INTO,NO,Category → SOFT DRINKS
FGB-SDR-0001,Soda 500ml,BAR DRINKS,bottle,50.0,100.0,1000.0,FGH-SOFT-DRINKS-019,SODA 500ML,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
FGB-STK-BEV-0002,Soda 500ml,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-019,SODA 500ML,SOFT DRINKS,MERGE INTO,NO,Category → SOFT DRINKS
MOG-BAR-0180,SOUTHERN COMFORT,BAR DRINKS,each,0.0,3200.0,0.0,FGH-SPIRITS-023,SOUTHERN COMFORT,SPIRITS,RENAME,YES,Category → SPIRITS
FGB-WHK-0025,Tang 10,BAR DRINKS,bottle,3167.0,6000.0,1000.0,FGH-WHISKY-063,TANG 10,WHISKY,RENAME,YES,Category → WHISKY
FGB-STK-BEV-0010,Tonic Soda,BAR DRINKS,bottle,0.0,120.0,0.0,FGH-SOFT-DRINKS-022,TONIC SODA,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
FGB-STK-OTH-0002,Trust Kiss,BAR DRINKS,pcs,0.0,100.0,0.0,FGH-CONDOMS-001,KISS,CONDOMS,KEEP / RENAME,YES,Category → CONDOMS; Name → KISS
FGB-OTH-0006,Trust Studded,BAR DRINKS,pcs,39.5,100.0,976.0,FGH-CONDOMS-002,STUDDED,CONDOMS,KEEP / RENAME,YES,Category → CONDOMS; Name → STUDDED
MOG-BAR-0281,V&A,BAR DRINKS,each,0.0,1200.0,0.0,FGH-SPIRITS-025,V&A,SPIRITS,RENAME,YES,Category → SPIRITS
FGB-STK-CRM-0006,V&A 1/4,BAR DRINKS,bottle,0.0,400.0,0.0,FGH-SPIRITS-026,V&A 250ML,SPIRITS,MERGE INTO,NO,Category → SPIRITS; Name → V&A 250ML
FGB-WHK-0041,V&A 250ml,BAR DRINKS,bottle,310.0,400.0,996.0,FGH-SPIRITS-026,V&A 250ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS
FGB-WHK-0042,V&A 750ml,BAR DRINKS,bottle,803.0,1200.0,1000.0,FGH-SPIRITS-027,V&A 750ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS
FGB-SPR-0014,Viceroy 350ml,BAR DRINKS,bottle,653.0,653.0,966.0,FGH-SPIRITS-030,VICEROY 350ML,SPIRITS,RENAME,YES,Category → SPIRITS
MOG-BAR-0312,VODKA 1 LTR,BAR DRINKS,each,0.0,2300.0,0.0,FGH-VODKA-002,VODKA 1L,VODKA,RENAME,YES,Category → VODKA; Name → VODKA 1L
FGB-STK-VOD-0001,Vodka 250ml,BAR DRINKS,bottle,0.0,600.0,0.0,FGH-VODKA-003,VODKA 250ML,VODKA,MERGE INTO,NO,Category → VODKA
FGB-STK-VOD-0002,Vodka 350ml,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-VODKA-004,VODKA 350ML,VODKA,MERGE INTO,NO,Category → VODKA
FGB-SDR-0002,Water 1L,BAR DRINKS,bottle,42.0,100.0,1000.0,FGH-SOFT-DRINKS-024,WATER 1L,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS
FGB-BER-0013,White Cap,BAR DRINKS,bottle,195.92,250.0,1000.0,FGH-BEERS-021,WHITE CAP LAGER,BEERS,KEEP / RENAME,YES,Category → BEERS; Name → WHITE CAP LAGER
MOG-BAR-0138,WHITE CAP CRISPS,BAR DRINKS,each,0.0,0.0,0.0,FGH-DRY-GOODS-208,WHITE CAP CRISPS,DRY GOODS,RENAME,YES,Category → DRY GOODS
FGB-WHK-0040,William Lawsons 1L,BAR DRINKS,bottle,2229.0,3000.0,1000.0,FGH-WHISKY-066,WILLIAM LAWSONS 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FGB-STK-WHK-0033,William Lawsons 3/4,BAR DRINKS,bottle,0.0,2200.0,0.0,FGH-WHISKY-068,WILLIAM LAWSONS 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → WILLIAM LAWSONS 750ML
FG-190,BALOZI,BEERS,crate,4225.0,250.0,1000.0,FGH-BEERS-001,BALOZI,BEERS,RENAME,YES,
FG-191,BLACK ICE,BEERS,crate,3982.0,250.0,1000.0,FGH-BEERS-002,BLACK ICE,BEERS,MERGE INTO,NO,
FG-192,DESPARADO,BEERS,pcs,285.0,285.0,6.0,FGH-BEERS-003,DESPERADO,BEERS,MERGE INTO,NO,Name → DESPERADO
FG-450,GUARANA,BEERS,crate,0.0,0.0,0.0,FGH-BEERS-004,GUARANA,BEERS,MERGE INTO,NO,
FG-193,GUINNESS,BEERS,crate,5109.0,300.0,1000.0,FGH-BEERS-005,GUINNESS,BEERS,MERGE INTO,NO,
FG-194,HEINEKEN,BEERS,pcs,263.0,263.0,0.0,FGH-BEERS-006,HEINEKEN,BEERS,RENAME,YES,
FG-320,HUNTERS CIDER DRY,BEERS,pcs,203.0,203.0,33.0,FGH-BEERS-008,HUNTERS CIDER DRY,BEERS,RENAME,YES,
FG-195,HUNTERS CIDER GOLD,BEERS,pcs,203.0,203.0,12.0,FGH-BEERS-009,HUNTERS CIDER GOLD,BEERS,KEEP / RENAME,YES,
FG-315,KINGFISHER,BEERS,pcs,192.0,192.0,0.0,FGH-BEERS-010,KINGFISHER,BEERS,RENAME,YES,
FG-196,MANYATTA,BEERS,pcs,215.0,300.0,1000.0,FGH-BEERS-011,MANYATTA,BEERS,RENAME,YES,
FG-197,PILSNER LAGER,BEERS,crate,4227.0,250.0,1000.0,FGH-BEERS-012,PILSNER LAGER,BEERS,MERGE INTO,NO,
FG-198,SAVANA CIDER,BEERS,pcs,251.0,251.0,0.0,FGH-BEERS-013,SAVANNA CIDER,BEERS,MERGE INTO,NO,Name → SAVANNA CIDER
FG-199,SIKERA,BEERS,crate,3275.0,250.0,1000.0,FGH-BEERS-014,SIKERA,BEERS,RENAME,YES,
FG-200,SNAPP,BEERS,crate,3982.0,250.0,1000.0,FGH-BEERS-015,SNAPP,BEERS,RENAME,YES,
FG-201,SUMMIT LAGER,BEERS,pcs,240.0,300.0,1000.0,FGH-BEERS-016,SUMMIT LAGER,BEERS,RENAME,YES,
FG-202,TUSKER CIDER,BEERS,crate,5552.0,250.0,1000.0,FGH-BEERS-017,TUSKER CIDER,BEERS,RENAME,YES,
FG-203,TUSKER LAGER,BEERS,crate,4225.0,250.0,1000.0,FGH-BEERS-018,TUSKER LAGER,BEERS,RENAME,YES,
FG-204,TUSKER LITE,BEERS,crate,4667.0,250.0,1000.0,FGH-BEERS-019,TUSKER LITE,BEERS,RENAME,YES,
FG-205,TUSKER MALT,BEERS,crate,4075.0,250.0,1000.0,FGH-BEERS-020,TUSKER MALT,BEERS,RENAME,YES,
FG-206,WHITE CAP LAGER,BEERS,crate,4075.0,250.0,1000.0,FGH-BEERS-021,WHITE CAP LAGER,BEERS,MERGE INTO,NO,
FG-207,WHITE CAP LITE,BEERS,crate,4075.0,250.0,1000.0,FGH-BEERS-022,WHITE CAP LITE,BEERS,RENAME,YES,
FG-395,WINDHOEK,BEERS,pcs,190.0,190.0,0.0,FGH-BEERS-023,WINDHOEK,BEERS,RENAME,YES,
FGH-BEV-KCPINE-0001,KC pineapple 750ml,beverage,bottle,0.0,0.0,1000.0,FGH-WHISKY-055,KC PINEAPPLE 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FG-425,ALVARO CAN,CANNED BEERS,pcs,0.0,0.0,1000.0,FGH-CANNED-BEERS-001,ALVARO CAN,CANNED BEERS,MERGE INTO,NO,
FG-208,BALOZI CAN,CANNED BEERS,pcs,199.2,300.0,1000.0,FGH-CANNED-BEERS-002,BALOZI CAN,CANNED BEERS,RENAME,YES,
FG-209,BLACK ICE CAN,CANNED BEERS,pcs,175.96,300.0,1000.0,FGH-CANNED-BEERS-003,BLACK ICE CAN,CANNED BEERS,RENAME,YES,
FG-210,FAXE CAN,CANNED BEERS,pcs,825.0,825.0,0.0,FGH-CANNED-BEERS-004,FAXE CAN,CANNED BEERS,KEEP / RENAME,YES,
FG-211,GUINNESS CAN,CANNED BEERS,pcs,216.71,300.0,1000.0,FGH-CANNED-BEERS-007,GUINNESS CAN,CANNED BEERS,MERGE INTO,NO,
FG-422,HEINKEIN CAN,CANNED BEERS,pcs,0.0,0.0,0.0,FGH-CANNED-BEERS-008,HEINEKEN CAN,CANNED BEERS,RENAME,YES,Name → HEINEKEN CAN
FG-451,MANYATTA CAN,CANNED BEERS,pcs,0.0,0.0,0.0,FGH-CANNED-BEERS-009,MANYATTA CAN,CANNED BEERS,RENAME,YES,
FG-212,PILSNER CAN,CANNED BEERS,pcs,138.75,300.0,1000.0,FGH-CANNED-BEERS-010,PILSNER CAN,CANNED BEERS,RENAME,YES,
FG-423,QUARANA PUNCH,CANNED BEERS,pcs,0.0,0.0,1000.0,FGH-CANNED-BEERS-006,GUARANA PUNCH,CANNED BEERS,MERGE INTO,NO,Name → GUARANA PUNCH
FG-424,SAVANNA RASPBERRY TWIST,CANNED BEERS,pcs,0.0,0.0,1000.0,FGH-CANNED-BEERS-011,SAVANNA RASPBERRY TWIST,CANNED BEERS,MERGE INTO,NO,
FG-213,SNAPP CAN,CANNED BEERS,pcs,175.96,300.0,1000.0,FGH-CANNED-BEERS-012,SNAPP CAN,CANNED BEERS,RENAME,YES,
FG-214,TUSKER CIDER CAN,CANNED BEERS,pcs,234.0,300.0,1000.0,FGH-CANNED-BEERS-013,TUSKER CIDER CAN,CANNED BEERS,RENAME,YES,
FG-215,TUSKER LAGER CAN,CANNED BEERS,pcs,199.1,300.0,1000.0,FGH-CANNED-BEERS-014,TUSKER LAGER CAN,CANNED BEERS,RENAME,YES,
FG-216,TUSKER LITE CAN,CANNED BEERS,pcs,243.0,300.0,1000.0,FGH-CANNED-BEERS-015,TUSKER LITE CAN,CANNED BEERS,RENAME,YES,
FG-217,TUSKER MALT CAN,CANNED BEERS,pcs,242.0,300.0,1000.0,FGH-CANNED-BEERS-016,TUSKER MALT CAN,CANNED BEERS,RENAME,YES,
FG-218,WHITE CAP CAN,CANNED BEERS,pcs,242.0,242.0,1000.0,FGH-CANNED-BEERS-017,WHITE CAP CAN,CANNED BEERS,RENAME,YES,
FG-118,CERAMIC STAIN REMOVER,CLEANING MATERIALS,ltr,0.0,0.0,1000.0,FGH-CLEANING-MATERIALS-001,CERAMIC STAIN REMOVER,CLEANING MATERIALS,RENAME,YES,
FG-115,GROUT STAIN REMOVER,CLEANING MATERIALS,ltr,0.0,0.0,1000.0,FGH-CLEANING-MATERIALS-002,GROUT STAIN REMOVER,CLEANING MATERIALS,RENAME,YES,
FG-117,INDUSTRIAL JIK,CLEANING MATERIALS,ltr,0.0,0.0,1000.0,FGH-CLEANING-MATERIALS-003,INDUSTRIAL JIK,CLEANING MATERIALS,RENAME,YES,
FG-116,SCOURING POWDER,CLEANING MATERIALS,pcs,0.0,0.0,1000.0,FGH-CLEANING-MATERIALS-004,SCOURING POWDER,CLEANING MATERIALS,RENAME,YES,
FG-113,TOILET DISINFECTANT,CLEANING MATERIALS,ltr,0.0,0.0,1000.0,FGH-CLEANING-MATERIALS-005,TOILET DISINFECTANT,CLEANING MATERIALS,RENAME,YES,
FG-176,WASHING POWDER,CLEANING MATERIALS,kg,1200.0,1200.0,1000.0,FGH-CLEANING-MATERIALS-006,WASHING POWDER,CLEANING MATERIALS,RENAME,YES,
FG-256,DOUBLE BLACK 1LTR,COGNAC,pcs,5640.0,5640.0,4.0,FGH-WHISKY-013,DOUBLE BLACK 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → DOUBLE BLACK 1L
FG-257,DOUBLE BLACK 750ML,COGNAC,pcs,4160.0,4160.0,1.0,FGH-WHISKY-014,DOUBLE BLACK 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FG-267,HENNESSY VSOP 700ML,COGNAC,pcs,9200.0,9200.0,3.0,FGH-COGNAC-004,HENNESSY VSOP 700ML,COGNAC,KEEP / RENAME,YES,
FG-402,HENNESY,COGNAC,pcs,4600.0,4600.0,1.0,FGH-COGNAC-001,HENNESSY,COGNAC,MERGE INTO,NO,Name → HENNESSY
FG-287,MARTEL VS 700ML,COGNAC,pcs,4764.0,4764.0,4.0,FGH-COGNAC-006,MARTELL VS 700ML,COGNAC,MERGE INTO,NO,Name → MARTELL VS 700ML
FG-288,MARTEL VSOP 700ML,COGNAC,pcs,5800.0,5800.0,2.0,FGH-COGNAC-007,MARTELL VSOP 700ML,COGNAC,MERGE INTO,NO,Name → MARTELL VSOP 700ML
FG-444,KISS,CONDOM,pcs,0.0,0.0,0.0,FGH-CONDOMS-001,KISS,CONDOMS,MERGE INTO,NO,Category → CONDOMS
FG-397,STUDDED,CONDOM,pcs,50.0,950.0,949.0,FGH-CONDOMS-002,STUDDED,CONDOMS,MERGE INTO,NO,Category → CONDOMS
FG-NC-001,TRUST CLASSIC,CONDOM,pcs,30.0,0.0,976.0,FGH-CONDOMS-003,TRUST CLASSIC,CONDOMS,RENAME,YES,Category → CONDOMS
FG-363,13KG GAS,DRY GOODS,pcs,2400.0,2400.0,1000.0,FGH-DRY-GOODS-001,13KG GAS,DRY GOODS,RENAME,YES,
FG-151,50KG GAS,DRY GOODS,pcs,1050.0,8500.0,1000.0,FGH-DRY-GOODS-002,50KG GAS,DRY GOODS,RENAME,YES,
FG-157,6KG GAS,DRY GOODS,pcs,1250.0,1050.0,1000.0,FGH-DRY-GOODS-004,6KG GAS,DRY GOODS,RENAME,YES,
FG-153,6KGS,DRY GOODS,pcs,350.0,1250.0,1000.0,FGH-DRY-GOODS-003,6KG,DRY GOODS,RENAME,YES,Name → 6KG
FG-9,AIR FRESHENERS,DRY GOODS,pcs,1980.0,1980.0,974.0,FGH-DRY-GOODS-005,AIR FRESHENERS,DRY GOODS,RENAME,YES,
FG-2,AJAB UGALI,DRY GOODS,bale,265.0,265.0,538.0,FGH-DRY-GOODS-006,AJAB UGALI,DRY GOODS,RENAME,YES,
FG-383,ATTARMARK,DRY GOODS,pcs,1284.0,265.0,993.0,FGH-DRY-GOODS-007,ATTARMARK,DRY GOODS,RENAME,YES,
FG-82,BACON,DRY GOODS,pkt,400.0,400.0,1000.0,FGH-DRY-GOODS-008,BACON,DRY GOODS,RENAME,YES,
FG-189,BAKED BEANS,DRY GOODS,pcs,20.0,400.0,1000.0,FGH-DRY-GOODS-009,BAKED BEANS,DRY GOODS,RENAME,YES,
FG-61,BAKING POWDER,DRY GOODS,pcs,10.0,20.0,994.0,FGH-DRY-GOODS-010,BAKING POWDER,DRY GOODS,RENAME,YES,
FG-150,BANANAS,DRY GOODS,pcs,180.0,10.0,1000.0,FGH-DRY-GOODS-011,BANANAS,DRY GOODS,RENAME,YES,
FG-40,BARSOAP,DRY GOODS,pcs,70.0,202.0,994.0,FGH-DRY-GOODS-012,BAR SOAP,DRY GOODS,RENAME,YES,Name → BAR SOAP
FG-5,BASMATTI RICE,DRY GOODS,kg,10.0,10.0,895.0,FGH-DRY-GOODS-013,BASMATI RICE,DRY GOODS,RENAME,YES,Name → BASMATI RICE
FG-354,BATTERIES AA,DRY GOODS,pcs,50.0,70.0,1000.0,FGH-DRY-GOODS-014,BATTERIES AA,DRY GOODS,RENAME,YES,
FG-369,BATTERIES AAA,DRY GOODS,pcs,850.0,50.0,1000.0,FGH-DRY-GOODS-015,BATTERIES AAA,DRY GOODS,RENAME,YES,
FG-392,BAYGON,DRY GOODS,pcs,250.0,650.0,1000.0,FGH-DRY-GOODS-016,BAYGON,DRY GOODS,RENAME,YES,
FG-339,BEEF MASALA,DRY GOODS,pcs,680.0,250.0,1000.0,FGH-DRY-GOODS-017,BEEF MASALA,DRY GOODS,RENAME,YES,
FG-79,BEEF STEAK,DRY GOODS,pcs,32.5,680.0,1000.0,FGH-DRY-GOODS-018,BEEF STEAK,DRY GOODS,RENAME,YES,
FG-44,BELLA TISSUE,DRY GOODS,pcs,45.0,22.0,430.0,FGH-DRY-GOODS-020,BELLA TISSUE,DRY GOODS,RENAME,YES,
FG-385,BICABORNATE,DRY GOODS,pcs,10.0,45.0,970.0,FGH-DRY-GOODS-021,BICARBONATE,DRY GOODS,RENAME,YES,Name → BICARBONATE
FG-38,BIRO PENS,DRY GOODS,pcs,150.0,10.0,976.0,FGH-DRY-GOODS-022,BIRO PENS,DRY GOODS,RENAME,YES,
FG-46,BLACK PEPPER,DRY GOODS,pcs,2970.0,150.0,999.0,FGH-DRY-GOODS-023,BLACK PEPPER,DRY GOODS,RENAME,YES,
FG-7,BLUE BAND,DRY GOODS,pcs,60.0,2970.0,1000.0,FGH-DRY-GOODS-024,BLUE BAND,DRY GOODS,RENAME,YES,
FG-170,BROCOLLI,DRY GOODS,kg,60.0,60.0,1000.0,FGH-DRY-GOODS-025,BROCCOLI,DRY GOODS,RENAME,YES,Name → BROCCOLI
FG-15,BROILERS,DRY GOODS,pcs,600.0,600.0,352.0,FGH-DRY-GOODS-026,BROILERS,DRY GOODS,RENAME,YES,
FG-20,BROILERS EGGS,DRY GOODS,pcs,450.0,450.0,1000.0,FGH-DRY-GOODS-027,BROILERS EGGS,DRY GOODS,RENAME,YES,
FG-370,BROOMS,DRY GOODS,pcs,50.0,50.0,1000.0,FGH-DRY-GOODS-028,BROOMS,DRY GOODS,RENAME,YES,
FG-111,BROWN BREAD,DRY GOODS,pcs,57.0,57.0,1000.0,FGH-DRY-GOODS-029,BROWN BREAD,DRY GOODS,RENAME,YES,
FG-352,BROWN KHAKI,DRY GOODS,pcs,200.0,200.0,1000.0,FGH-DRY-GOODS-030,BROWN KHAKI,DRY GOODS,RENAME,YES,
FG-91,BUTTERNUT,DRY GOODS,kg,80.0,80.0,1000.0,FGH-DRY-GOODS-031,BUTTERNUT,DRY GOODS,RENAME,YES,
FG-32,CABBAGES,DRY GOODS,pcs,45.0,50.0,605.0,FGH-DRY-GOODS-032,CABBAGES,DRY GOODS,RENAME,YES,
FG-341,CARDAMOMS,DRY GOODS,pkt,85.0,150.0,1000.0,FGH-DRY-GOODS-033,CARDAMOMS,DRY GOODS,RENAME,YES,
FG-8,CARRIER BAGS #15,DRY GOODS,pcs,150.0,85.0,979.0,FGH-DRY-GOODS-034,CARRIER BAGS #15,DRY GOODS,RENAME,YES,
FG-351,CARRIER BAGS #22,DRY GOODS,pkt,125.0,125.0,977.0,FGH-DRY-GOODS-035,CARRIER BAGS #22,DRY GOODS,RENAME,YES,
FG-107,CARROTS,DRY GOODS,kg,30.0,80.0,878.0,FGH-DRY-GOODS-036,CARROTS,DRY GOODS,RENAME,YES,
FG-109,CHARCOAL,DRY GOODS,sack,1450.0,1450.0,969.5,FGH-DRY-GOODS-037,CHARCOAL,DRY GOODS,RENAME,YES,
FG-77,CHICKEN BITES,DRY GOODS,pkt,375.0,375.0,1000.0,FGH-DRY-GOODS-038,CHICKEN BITES,DRY GOODS,RENAME,YES,
FG-340,CHICKEN MASALA,DRY GOODS,pcs,250.0,250.0,999.0,FGH-DRY-GOODS-039,CHICKEN MASALA,DRY GOODS,RENAME,YES,
FG-124,CHILLI SAUCE,DRY GOODS,pcs,450.0,450.0,999.0,FGH-DRY-GOODS-040,CHILLI SAUCE,DRY GOODS,RENAME,YES,
FG-344,CHILLIE SAUCE SATCHETS,DRY GOODS,pkt,900.0,900.0,1000.0,FGH-DRY-GOODS-041,CHILLIE SAUCE SACHETS,DRY GOODS,RENAME,YES,Name → CHILLIE SAUCE SACHETS
FG-122,CINAMON,DRY GOODS,pcs,230.0,230.0,999.0,FGH-DRY-GOODS-042,CINNAMON,DRY GOODS,RENAME,YES,Name → CINNAMON
FG-60,COCONUT CREAM,DRY GOODS,pcs,285.0,320.0,1000.0,FGH-DRY-GOODS-043,COCONUT CREAM,DRY GOODS,RENAME,YES,
FG-59,COCONUT MILK,DRY GOODS,pcs,290.0,300.0,1000.0,FGH-DRY-GOODS-044,COCONUT MILK,DRY GOODS,RENAME,YES,
FG-129,COFFEE CUPS,DRY GOODS,pcs,375.0,375.0,850.0,FGH-DRY-GOODS-045,COFFEE CUPS,DRY GOODS,RENAME,YES,
FG-186,COLGATE,DRY GOODS,pcs,800.0,800.0,1000.0,FGH-DRY-GOODS-046,COLGATE,DRY GOODS,RENAME,YES,
FG-4,COOKING OIL,DRY GOODS,can,4600.0,5050.0,971.0,FGH-DRY-GOODS-047,COOKING OIL,DRY GOODS,RENAME,YES,
FG-76,CORN FLOUR,DRY GOODS,pkt,107.0,107.0,978.0,FGH-DRY-GOODS-048,CORN FLOUR,DRY GOODS,RENAME,YES,
FG-119,CORNFLAKES,DRY GOODS,pkt,350.0,350.0,1000.0,FGH-DRY-GOODS-049,CORNFLAKES,DRY GOODS,RENAME,YES,
FG-132,COTTON,DRY GOODS,pkt,200.0,200.0,1000.0,FGH-DRY-GOODS-050,COTTON,DRY GOODS,RENAME,YES,
FG-185,COURGETS,DRY GOODS,kg,40.0,40.0,1000.0,FGH-DRY-GOODS-051,COURGETS,DRY GOODS,RENAME,YES,
FG-168,CUCUMBER,DRY GOODS,pcs,40.0,40.0,1000.0,FGH-DRY-GOODS-052,CUCUMBER,DRY GOODS,RENAME,YES,
FG-57,CURRY POWDER,DRY GOODS,pcs,250.0,250.0,1000.0,FGH-DRY-GOODS-053,CURRY POWDER,DRY GOODS,RENAME,YES,
FG-162,DANA JEERA,DRY GOODS,pcs,215.0,215.0,1000.0,FGH-DRY-GOODS-054,DANA JEERA,DRY GOODS,RENAME,YES,
FG-155,DANIA,DRY GOODS,kg,100.0,100.0,1000.0,FGH-DRY-GOODS-057,DHANIA,DRY GOODS,KEEP / RENAME,YES,Name → DHANIA
FG-63,DARKSOY SAUCE,DRY GOODS,pcs,350.0,325.0,976.0,FGH-DRY-GOODS-055,DARK SOY SAUCE,DRY GOODS,RENAME,YES,Name → DARK SOY SAUCE
FG-187,DETTOL,DRY GOODS,ltr,225.0,225.0,1000.0,FGH-DRY-GOODS-056,DETTOL,DRY GOODS,RENAME,YES,
FG-393,DHANIA,DRY GOODS,kg,100.0,100.0,1000.0,FGH-DRY-GOODS-057,DHANIA,DRY GOODS,MERGE INTO,NO,
FG-93,DOOM,DRY GOODS,pcs,500.0,1300.0,1000.0,FGH-DRY-GOODS-058,DOOM,DRY GOODS,RENAME,YES,
FG-407,DORMANTS,DRY GOODS,pcs,1300.0,345.0,1000.0,FGH-DRY-GOODS-059,DORMANTS,DRY GOODS,RENAME,YES,
FG-368,DOWNY,DRY GOODS,ltr,500.0,300.0,970.0,FGH-DRY-GOODS-060,DOWNY,DRY GOODS,RENAME,YES,
FG-12,DRINKING CHOCOLATE,DRY GOODS,pcs,100.0,30.0,990.0,FGH-DRY-GOODS-061,DRINKING CHOCOLATE,DRY GOODS,RENAME,YES,
FG-138,EASY WARM,DRY GOODS,pcs,800.0,800.0,1000.0,FGH-DRY-GOODS-062,EASY WARM,DRY GOODS,RENAME,YES,
FG-51,EGG YELLOW,DRY GOODS,pcs,60.0,21.0,891.0,FGH-DRY-GOODS-063,EGG YELLOW,DRY GOODS,RENAME,YES,
FG-166,EGGS KIENYEJI,DRY GOODS,pcs,25.0,25.0,1000.0,FGH-DRY-GOODS-098,KIENYEJI EGGS,DRY GOODS,KEEP / RENAME,YES,Name → KIENYEJI EGGS
FG-358,ENVELOPE A4,DRY GOODS,pcs,10.0,10.0,1000.0,FGH-DRY-GOODS-064,ENVELOPE A4,DRY GOODS,RENAME,YES,
